Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Tomodachi wo Tsukurou.,7.33,891,4434,6668,"2,762",28,2,20,Finished,"Mar  31, 2015 to Apr  25, 2016",[],[],"Shouma, Keito (Story & Art)",3,"[1, 2, 0]"
Inai Boku wa Hotarumachi ni Iru,7.33,292,4435,14120,"1,029",8,2,10,Finished,"Dec  6, 2013 to Jun  5, 2015","['Drama', 'Supernatural']",[],"Tanaka, Miho (Story & Art)",1,"[1, 0, 0]"
Misoshiru de Kanpai!,7.33,874,4436,5193,"3,652",29,14,85,Finished,"Jun  12, 2015 to Sep  12, 2022","['Comedy', 'Gourmet', 'Slice of Life']",[],"Sasano, Sai (Story & Art)",1,"[1, 0, 0]"
Mimi Mix!,7.33,713,4437,8825,"1,948",16,3,20,Finished,"Nov  18, 2016 to May  18, 2018","['Comedy', 'Girls Love']",[],"Hirose, Madoka (Story & Art)",2,"[1, 1, 0]"
"Owari Nochi, Asanagi-kurashi. (Giant Spider & Me: A Post-Apocalyptic Tale)",7.33,1030,4438,6197,"2,999",40,3,14,Finished,"Sep  8, 2016 to Feb  15, 2018","['Fantasy', 'Gourmet', 'Slice of Life']",[],"Morino, Kikori (Story & Art)",2,"[2, 0, 0]"
Kingdom Hearts,7.33,12027,4358,740,"23,201",765,4,43,Finished,"Oct  2003 to Jan  31, 2005","['Adventure', 'Fantasy']",[],"Amano, Shiro (Art), Nomura, Tetsuya (Story)",15,"[8, 6, 1]"
Platinum Garden,7.33,716,4359,6905,"2,646",12,15,68,Finished,"Apr  12, 2001 to Jun  16, 2006","['Comedy', 'Drama', 'Romance', 'Supernatural']",[],"Fujita, Maki (Story & Art)",0,"[0, 0, 0]"
Seikai no Monshou (Seikai Trilogy),7.33,418,4360,14484,989,15,3,25,Finished,1999 to ?,[],[],"Morioka, Hiroyuki (Story), Ono, Toshihiro (Art), Miyakoshi, Wasoh (Art)",0,"[0, 0, 0]"
Vampire Doll: Guilt-na-Zan,7.33,968,4361,7174,"2,529",87,6,49,Finished,"Mar  28, 2002 to Sep  16, 2008","['Comedy', 'Horror']",[],"Kari, Erika (Story & Art)",2,"[2, 0, 0]"
Souten no Koumori,7.33,2395,4362,4531,"4,258",12,Unknown,1,Finished,2006,[],"['Historical', 'Martial Arts']","Arakawa, Hiromu (Story & Art)",2,"[2, 0, 0]"
Koukaku Kidoutai 1.5: Human-Error Processer (The Ghost in the Shell 1.5),7.33,2998,4363,2374,"8,176",62,1,7,Finished,"1991 to Jul  15, 1996","['Action', 'Sci-Fi']","['Adult Cast', 'Detective', 'Psychological']","Shirow, Masamune (Story & Art)",3,"[2, 1, 0]"
Kimi no Kakera,7.33,261,4364,13558,"1,089",21,9,27,Finished,"Aug  21, 2002 to Jul  16, 2010","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']",[],"Takahashi, Shin (Story & Art)",0,"[0, 0, 0]"
Spiral Alive,7.33,539,4365,8452,"2,067",22,5,28,Finished,"May  22, 2002 to Sep  22, 2008",[],[],"Shirodaira, Kyou (Story), Mizuno, Eita (Art)",2,"[2, 0, 0]"
Gakkou no Ojikan,7.33,1982,4366,4030,"4,861",17,17,115,Finished,"Sep  5, 2003 to Nov  20, 2008","['Comedy', 'Romance']",[],"Tajima, Mimi (Story & Art)",2,"[2, 0, 0]"
