Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Genres,Author,Recommended,Mixed Feelings,Not Recommended,Release date,Completed date
Bungou Stray Dogs (Bungo Stray Dogs),8.52,26815,125,155,87698,5982,4,28,Publishing,"['Action', 'Supernatural']","['Asagiri Kafka', 'Harukawa35']",14,2,1,2012-12-04,2023-12-11
Umineko no Naku Koro ni,8.52,1709,126,3255,6099,501,8,28,Finished,"['Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense']","['Ryukishi07', 'Tomohi']",0,0,0,2009-07-01,2010-08-03
The Fable,8.52,11387,127,403,40509,1200,22,240,Finished,"['Award Winning', 'Comedy']",['Minami Katsuhisa'],17,1,0,2014-11-01,2019-11-18
Katanagatari (Katanagatari: Sword Tale),8.52,1425,128,2650,7404,192,12,55,Finished,"['Action', 'Adventure', 'Comedy', 'Romance']","['NISIO ISIN', 'Take']",1,1,0,2007-01-09,2007-12-04
Sakamichi no Apollon,8.52,10624,129,574,29399,974,9,45,Finished,"['Award Winning', 'Drama', 'Romance']",['Kodama Yuki'],10,1,0,2007-09-28,2012-01-28
Tokyo Ghoul,8.52,266501,130,5,490287,44253,14,144,Finished,"['Action', 'Fantasy', 'Horror']",['Ishida Sui'],99,20,5,2011-09-08,2014-09-18
Steins;Gate,8.52,3158,131,1542,12497,190,5,17,Finished,"['Sci-Fi', 'Suspense']","['Sakai Kyuuta', 'Miwa Kiyomune']",0,0,0,2011-06-30,2012-05-31
Fruits Basket,8.52,72298,132,76,140742,14475,23,136,Finished,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",['Takaya Natsuki'],73,2,2,1998-07-18,2006-11-20
Fate/Zero,8.52,8268,133,641,26946,940,4,18,Finished,"['Action', 'Fantasy', 'Supernatural']","['Takeuchi Takashi', 'Urobuchi Gen']",5,0,0,2006-12-29,2007-12-29
Watashitachi no Shiawase na Jikan,8.52,54067,134,107,114143,4842,1,8,Finished,"['Drama', 'Romance']",['Yumeka Sumomo'],74,4,5,2008-03-28,2008-08-22
19 Tian,8.52,2927,135,2596,7556,592,4,28,Publishing,"['Boys Love', 'Comedy']",['Old Xian'],3,0,0,2018-10-19,2023-12-11
Bakemonogatari,8.51,10332,136,464,35626,1690,22,28,Finished,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Supernatural']","['Oh! Great', 'NISIO ISIN']",9,1,1,2018-03-14,2023-03-15
Medalist,8.51,1369,137,2018,9385,197,4,28,Publishing,"['Award Winning', 'Drama', 'Sports']",['Tsurumaikada'],3,0,0,2020-05-25,2023-12-11
JoJo no Kimyou na Bouken Part 9: The JoJoLands (JoJo's Bizarre Adventure Part 9: The JoJoLands),8.51,7580,138,520,32169,521,4,28,Publishing,"['Action', 'Adventure', 'Supernatural']",['Araki Hirohiko'],6,0,0,2023-02-17,2023-12-11
Kusuriya no Hitorigoto (The Apothecary Diaries),8.51,13552,140,315,49536,2188,4,28,Publishing,"['Drama', 'Mystery']","['Hyuuga Natsu', 'Nekokurage', 'Nanao Itsuki']",14,0,0,2017-05-25,2023-12-11
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch (Umineko WHEN THEY CRY Episode 5: End of the Golden Witch),8.5,6466,143,1337,14035,465,6,27,Finished,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense']","['Ryukishi07', 'Akitaka']",3,0,0,2010-10-22,2012-11-22
Spirit Circle,8.5,17734,144,370,43362,2272,6,45,Finished,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Supernatural']",['Mizukami Satoshi'],24,1,0,2012-05-30,2016-03-30
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite (Bloom into You: Regarding Saeki Sayaka),8.5,1706,145,3052,6441,214,3,9,Finished,"['Drama', 'Girls Love']","['Iruma Hitoma', 'Nakatani Nio']",5,0,0,2018-11-10,2020-03-10
Ouran Koukou Host Club (Ouran High School Host Club),8.5,59175,147,92,125626,8020,18,87,Finished,"['Comedy', 'Drama', 'Romance']",['Hatori Bisco'],30,4,0,2002-07-24,2010-09-24
Bastard,8.49,68447,148,84,130625,6546,5,94,Finished,"['Drama', 'Horror', 'Mystery', 'Romance']","['Kim Carnby', 'Hwang Young-chan']",44,6,0,2014-07-04,2016-05-06
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken (The Angel Next Door Spoils Me Rotten),8.49,4752,149,993,17698,1072,4,28,Publishing,"['Comedy', 'Romance']","['Kazutake Hazano', 'Hanekoto', 'Saeki-san']",13,1,3,2019-06-14,2023-12-11
Vanitas no Karte (The Case Study of Vanitas),8.49,14590,150,248,62050,3485,4,28,Publishing,"['Fantasy', 'Supernatural']",['Mochizuki Jun'],11,3,2,2015-12-22,2023-12-11
Shimanami Tasogare (Our Dreams at Dusk: Shimanami Tasogare),8.49,21355,151,259,59223,3482,4,23,Finished,"['Drama', 'Slice of Life']",['Kamatani Yuhki'],33,3,1,2015-03-06,2018-05-23
"Ohayou, Ibarahime (Wake Up, Sleeping Beauty)",8.49,11060,153,486,34173,1113,6,26,Finished,"['Romance', 'Supernatural']",['Morino Megumi'],21,3,0,2014-11-22,2017-05-24
Cross Game,8.48,8505,155,851,20720,841,17,170,Finished,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Sports']",['Adachi Mitsuru'],8,1,0,2005-09-02,2010-02-17
Rainbow: Nisha Rokubou no Shichinin,8.48,8694,158,497,33652,896,22,235,Finished,"['Award Winning', 'Drama']","['Abe George', 'Kakizaki Masasumi']",8,2,3,2002-11-21,2010-01-04
