Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Xun Zhao Qian Shi Zhi Lu,7.40,152,3668,18614,655,22,Unknown,Unknown,Publishing,Jun  2013 to ?,"['Adventure', 'Romance', 'Supernatural']",[],Jinyu (Art),0,"[0, 0, 0]"
Sounan desu ka?Are You Lost?,7.40,1521,3669,3156,"6,240",68,10,128,Finished,"Jan  7, 2017 to Mar  7, 2022",[],[],"Sagara, Riri (Art), Okamoto, Kentarou (Story)",3,"[2, 1, 0]"
Sousei no TaigaTaiga of Genesis,7.40,1720,3670,3362,"5,896",46,Unknown,Unknown,Publishing,"Mar  28, 2017 to ?",[],"['Historical', 'Survival', 'Time Travel']","Mori, Kouji (Story & Art)",7,"[6, 1, 0]"
Mobuko no KoiA Side Character's Love Story,7.40,1214,3671,3265,"6,061",38,Unknown,Unknown,Publishing,"Mar  25, 2017 to ?","['Drama', 'Romance']","['Gag Humor', 'School']","Tamura, Akane (Story & Art)",4,"[4, 0, 0]"
Chijou Saikyou no Otoko Ryuu,7.40,327,3672,14321,"1,003",28,2,18,Finished,"Dec  8, 1976 to Apr  20, 1977",[],"['Martial Arts', 'Super Power']","Kaze, Shinobu (Story & Art)",1,"[0, 1, 0]"
Eden no HanaFlower of Eden,7.40,1435,3673,5214,"3,630",42,12,42,Finished,2000 to  2004,"['Drama', 'Romance']",[],"Suetsugu, Yuki (Story & Art)",5,"[3, 1, 1]"
Lupin IIILupin the 3rd,7.40,1103,3674,4154,"4,693",100,14,109,Finished,"Jul  7, 1967 to Apr  1972","['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",[],Monkey Punch (Story & Art),2,"[2, 0, 0]"
Bremen,7.40,2018,3675,4495,"4,274",89,9,82,Finished,"Dec  14, 1999 to Sep  11, 2001",[],[],"Umezawa, Haruto (Story & Art)",4,"[4, 0, 0]"
Matantei Loki,7.40,1068,3676,6333,"2,921",54,7,34,Finished,"Jan  12, 1999 to Nov  12, 2001","['Comedy', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",[],"Kinoshita, Sakura (Story & Art)",0,"[0, 0, 0]"
R.O.D: Read or DreamRead or Dream,7.40,780,3677,8343,"2,095",48,4,32,Finished,"Oct  19, 2002 to May  19, 2005","['Action', 'Comedy', 'Drama']",[],"Kurata, Hideyuki (Story), Ayanaga, Ran (Art)",0,"[0, 0, 0]"
Tetsuwan AtomAstro Boy,7.40,2120,3678,2264,"8,505",143,21,85,Finished,Apr  1951 to Mar  1968,"['Adventure', 'Sci-Fi']",[],"Tezuka, Osamu (Story & Art)",6,"[4, 2, 0]"
Shion no Ou: The Flowers of Hard Blood.,7.40,916,3679,6570,"2,801",15,8,50,Finished,"Mar  25, 2004 to Apr  25, 2008","['Drama', 'Mystery']",[],"Katori, Masaru (Story), Ando, Jiro (Art)",0,"[0, 0, 0]"
Bloody Kiss,7.40,10035,3680,933,"18,799",245,2,8,Finished,"Oct  20, 2005 to Jun  20, 2007","['Drama', 'Romance', 'Supernatural']","['School', 'Vampire']","Furumiya, Kazuko (Story & Art)",6,"[3, 0, 3]"
Endou Hiroki TanpenshuuTanpenshu,7.40,1866,3681,3705,"5,298",39,2,8,Finished,"Dec  25, 1995 to Feb  10, 2001","['Drama', 'Sci-Fi', 'Slice of Life']",[],"Endo, Hiroki (Story & Art)",2,"[1, 1, 0]"
Love♡Lucky!,7.40,2700,3682,3328,"5,962",53,7,63,Finished,"Nov  10, 2003 to Oct  23, 2006","['Comedy', 'Romance', 'Ecchi']",[],"Katsu, Aki (Story & Art)",6,"[6, 0, 0]"
Kanon: Honto no Omoi wa Egao no Mukougawa ni,7.40,387,3683,14237,"1,013",9,2,9,Finished,"Jun  29, 2006 to Oct  20, 2007",[],[],"Shimotsuki, Kinusa (Story & Art)",1,"[1, 0, 0]"
Himizu,7.40,4106,3684,1308,"14,260",239,4,43,Finished,"Jan  29, 2001 to Mar  11, 2002",[],[],"Furuya, Minoru (Story & Art)",9,"[5, 4, 0]"
Mokke,7.40,235,3685,12894,"1,164",10,9,50,Finished,Aug  2000 to Jul  2009,"['Comedy', 'Drama', 'Slice of Life', 'Supernatural']",[],"Kumakura, Takatoshi (Story & Art)",0,"[0, 0, 0]"
Honey & Honey: Onnanoko Doushi no Love Couple,7.40,602,3686,10348,"1,587",15,2,34,Finished,Apr  2006 to Feb  2007,"['Girls Love', 'Slice of Life']",[],"Takeuchi, Sachiko (Story & Art)",2,"[1, 1, 0]"
Renri no Eda,7.40,843,3687,10456,"1,564",7,1,4,Finished,"Apr  7, 2006","['Drama', 'Romance']",[],"Toda, Megumi (Story & Art)",0,"[0, 0, 0]"
Koi*Oto,7.40,502,3688,9911,"1,685",5,5,20,Finished,2007 to  2009,[],[],"Usami, Maki (Story & Art)",1,"[1, 0, 0]"
Natsuko no Sake,7.40,164,3689,16180,825,8,12,131,Finished,Dec  1988 to Apr  1991,"['Drama', 'Gourmet', 'Slice of Life']",[],"Oze, Akira (Story & Art)",1,"[1, 0, 0]"
